rewrite,num_unf,score,total,flow_preserving,non_flow_preserving
id_fuse,0,0,59758,0,0
id_fuse,0,2,505,0,0
lcomp,0,-49,3,0,0
lcomp,0,-41,3,0,0
lcomp,0,-32,1,0,0
lcomp,0,-28,12,0,0
lcomp,0,-26,13,0,0
lcomp,0,-24,2,0,0
lcomp,0,-21,560,0,0
lcomp,0,-19,159,0,0
lcomp,0,-17,16,0,0
lcomp,0,-15,2852,0,0
lcomp,0,-13,686,0,0
lcomp,0,-11,28,0,0
lcomp,0,-10,7270,0,0
lcomp,0,-9,9,0,0
lcomp,0,-8,1327,0,0
lcomp,0,-7,5,0,0
lcomp,0,-6,18204,0,0
lcomp,0,-4,3276,0,0
lcomp,0,-3,52651,0,0
lcomp,0,-2,57,0,0
lcomp,0,-1,107088,0,0
lcomp,0,0,51292,23023,0
lcomp,0,1,1395,898,0
lcomp,0,3,6,6,0
lcomp,1,-53,3,0,0
lcomp,1,-51,12,0,0
lcomp,1,-49,21,0,0
lcomp,1,-45,1,0,0
lcomp,1,-43,2,0,0
lcomp,1,-41,8,0,0
lcomp,1,-36,6,0,0
lcomp,1,-34,26,0,0
lcomp,1,-32,10,0,0
lcomp,1,-30,14,0,0
lcomp,1,-28,1087,0,0
lcomp,1,-26,876,0,0
lcomp,1,-24,160,0,0
lcomp,1,-22,24,0,0
lcomp,1,-21,7793,0,0
lcomp,1,-19,1681,0,0
lcomp,1,-17,374,0,0
lcomp,1,-15,38909,0,0
lcomp,1,-13,10802,0,0
lcomp,1,-11,709,0,0
lcomp,1,-10,91147,0,0
lcomp,1,-9,31,0,0
lcomp,1,-8,9625,0,0
lcomp,1,-7,4,0,0
lcomp,1,-6,232312,0,0
lcomp,1,-4,14345,0,0
lcomp,1,-3,481282,0,0
lcomp,1,-2,159,0,0
lcomp,1,-1,847388,0,0
lcomp,1,1,3276,875,0
lcomp,2,-45,4,0,0
lcomp,2,-43,28,0,0
lcomp,2,-41,58,0,0
lcomp,2,-39,42,0,0
lcomp,2,-28,36,0,0
lcomp,2,-26,68,0,0
lcomp,2,-24,21,0,0
lcomp,2,-22,10,0,0
lcomp,2,-21,3979,0,0
lcomp,2,-19,2178,0,0
lcomp,2,-17,261,0,0
lcomp,2,-15,23034,0,0
lcomp,2,-13,3297,0,0
lcomp,2,-11,402,0,0
lcomp,2,-10,103561,0,0
lcomp,2,-9,18,0,0
lcomp,2,-8,17845,0,0
lcomp,2,-6,191936,0,0
lcomp,2,-4,11219,0,0
lcomp,2,-3,385448,0,0
lcomp,2,-2,181,0,0
lcomp,2,-1,602114,0,0
lcomp,2,1,3830,840,1498
lcomp,3,-36,42,0,0
lcomp,3,-34,146,0,0
lcomp,3,-32,182,0,0
lcomp,3,-30,70,0,0
lcomp,3,-21,128,0,0
lcomp,3,-19,112,0,0
lcomp,3,-15,8217,0,0
lcomp,3,-13,3145,0,0
lcomp,3,-11,230,0,0
lcomp,3,-10,37564,0,0
lcomp,3,-8,3838,0,0
lcomp,3,-6,140382,0,0
lcomp,3,-4,14054,0,0
lcomp,3,-3,198059,0,0
lcomp,3,-2,305,0,0
lcomp,3,-1,301817,0,0
lcomp,3,1,2720,367,1189
lcomp,4,-28,192,0,0
lcomp,4,-26,406,0,0
lcomp,4,-24,322,0,0
lcomp,4,-22,70,0,0
lcomp,4,-15,280,0,0
lcomp,4,-13,140,0,0
lcomp,4,-10,9714,0,0
lcomp,4,-8,2380,0,0
lcomp,4,-6,32733,0,0
lcomp,4,-4,2374,0,0
lcomp,4,-3,99248,0,0
lcomp,4,-2,98,0,0
lcomp,4,-1,106061,0,0
lcomp,4,1,1001,143,452
lcomp,5,-21,253,0,0
lcomp,5,-19,343,0,0
lcomp,5,-17,175,0,0
lcomp,5,-15,21,0,0
lcomp,5,-10,196,0,0
lcomp,5,-8,56,0,0
lcomp,5,-6,5424,0,0
lcomp,5,-4,790,0,0
lcomp,5,-3,13570,0,0
lcomp,5,-2,16,0,0
lcomp,5,-1,31665,0,0
lcomp,5,1,540,64,354
pivot,0,-37,1,0,0
pivot,0,-32,2,0,0
pivot,0,-30,5,0,0
pivot,0,-29,1,0,0
pivot,0,-28,7,0,0
pivot,0,-27,10,0,0
pivot,0,-26,46,0,0
pivot,0,-25,36,0,0
pivot,0,-24,4,0,0
pivot,0,-23,52,0,0
pivot,0,-22,8,0,0
pivot,0,-21,25,0,0
pivot,0,-20,52,0,0
pivot,0,-19,24,0,0
pivot,0,-18,190,0,0
pivot,0,-17,161,0,0
pivot,0,-16,285,0,0
pivot,0,-15,329,0,0
pivot,0,-14,307,0,0
pivot,0,-13,413,0,0
pivot,0,-12,1553,0,0
pivot,0,-11,453,0,0
pivot,0,-10,1898,0,0
pivot,0,-9,2609,0,0
pivot,0,-8,4325,0,0
pivot,0,-7,1362,0,0
pivot,0,-6,11541,0,0
pivot,0,-5,3522,0,0
pivot,0,-4,21367,0,0
pivot,0,-3,22167,0,0
pivot,0,-2,55080,0,0
pivot,0,-1,57244,0,0
pivot,0,0,68718,21561,1
pivot,0,1,4211,1625,0
pivot,0,2,1114,569,0
pivot,0,3,108,84,0
pivot,1,-49,8,0,0
pivot,1,-47,58,0,0
pivot,1,-46,33,0,0
pivot,1,-45,181,0,0
pivot,1,-44,52,0,0
pivot,1,-43,64,0,0
pivot,1,-42,95,0,0
pivot,1,-41,51,0,0
pivot,1,-40,58,0,0
pivot,1,-39,102,0,0
pivot,1,-38,151,0,0
pivot,1,-37,104,0,0
pivot,1,-36,106,0,0
pivot,1,-35,259,0,0
pivot,1,-34,316,0,0
pivot,1,-33,436,0,0
pivot,1,-32,226,0,0
pivot,1,-31,527,0,0
pivot,1,-30,6450,0,0
pivot,1,-29,1467,0,0
pivot,1,-28,2872,0,0
pivot,1,-27,1718,0,0
pivot,1,-26,2195,0,0
pivot,1,-25,8036,0,0
pivot,1,-24,6847,0,0
pivot,1,-23,4132,0,0
pivot,1,-22,3796,0,0
pivot,1,-21,2772,0,0
pivot,1,-20,23383,0,0
pivot,1,-19,10054,0,0
pivot,1,-18,21516,0,0
pivot,1,-17,8670,0,0
pivot,1,-16,26120,0,0
pivot,1,-15,63268,0,0
pivot,1,-14,34707,0,0
pivot,1,-13,26250,0,0
pivot,1,-12,152395,0,0
pivot,1,-11,19709,0,0
pivot,1,-10,169357,0,0
pivot,1,-9,152659,0,0
pivot,1,-8,275565,0,0
pivot,1,-7,51245,0,0
pivot,1,-6,550727,0,0
pivot,1,-5,188016,0,0
pivot,1,-4,784758,0,0
pivot,1,-3,681600,0,0
pivot,1,-2,1210731,0,0
pivot,1,-1,810477,0,0
pivot,1,0,222910,0,0
pivot,1,1,17297,1099,975
pivot,1,2,2511,239,122
pivot,1,3,90,0,0
pivot,2,-42,3,0,0
pivot,2,-41,42,0,0
pivot,2,-40,6,0,0
pivot,2,-39,72,0,0
pivot,2,-38,63,0,0
pivot,2,-36,93,0,0
pivot,2,-35,186,0,0
pivot,2,-34,534,0,0
pivot,2,-32,135,0,0
pivot,2,-31,468,0,0
pivot,2,-30,498,0,0
pivot,2,-29,1482,0,0
pivot,2,-28,464,0,0
pivot,2,-27,700,0,0
pivot,2,-26,624,0,0
pivot,2,-25,14950,0,0
pivot,2,-24,18422,0,0
pivot,2,-23,5716,0,0
pivot,2,-22,5846,0,0
pivot,2,-21,7077,0,0
pivot,2,-20,74538,0,0
pivot,2,-19,13558,0,0
pivot,2,-18,32708,0,0
pivot,2,-17,11555,0,0
pivot,2,-16,100345,0,0
pivot,2,-15,103801,0,0
pivot,2,-14,42965,0,0
pivot,2,-13,29098,0,0
pivot,2,-12,318596,0,0
pivot,2,-11,53298,0,0
pivot,2,-10,246660,0,0
pivot,2,-9,268021,0,0
pivot,2,-8,629781,0,0
pivot,2,-7,96790,0,0
pivot,2,-6,1092438,0,0
pivot,2,-5,259907,0,0
pivot,2,-4,1608917,0,0
pivot,2,-3,1257099,0,0
pivot,2,-2,1926135,0,0
pivot,2,-1,1179705,0,0
pivot,2,0,158388,0,0
pivot,2,1,19471,2493,2544
pivot,2,2,1806,54,24
pivot,2,3,72,24,0
pivot,3,-36,21,0,0
pivot,3,-35,126,0,0
pivot,3,-32,156,0,0
pivot,3,-31,228,0,0
pivot,3,-30,288,0,0
pivot,3,-29,1020,0,0
pivot,3,-28,540,0,0
pivot,3,-27,1332,0,0
pivot,3,-26,540,0,0
pivot,3,-25,1068,0,0
pivot,3,-24,4500,0,0
pivot,3,-23,3792,0,0
pivot,3,-22,252,0,0
pivot,3,-21,1512,0,0
