strategy,rep,max_lc_unfusions,max_p_unfusions,qubits,depth,pt,pcnot,initial_gate_count,initial_2Q_count,initial_T_count,final_gate_count,final_2Q_count,final_T_count,optimisation_time,2Q_reduction,gate_reduction
full_reduce,0,,,10,1000,0.0,0.3,1000,302,0,125,89,0,0.0513314581476151,70.52980132450331,87.5
gFlow,0,,,10,1000,0.0,0.3,1000,302,0,472,269,0,0.2595178331248462,10.927152317880797,52.8
ZX-heur,0,,,10,1000,0.0,0.3,1000,302,0,483,285,0,4.236402374925092,5.629139072847682,51.7
cFlow,0,0.0,0.0,10,1000,0.0,0.3,1000,302,0,494,275,0,1.1254764581099153,8.940397350993377,50.6
cFlow,0,1.0,0.0,10,1000,0.0,0.3,1000,302,0,479,272,0,3.6580894170328975,9.933774834437086,52.1
cFlow,0,2.0,0.0,10,1000,0.0,0.3,1000,302,0,482,272,0,6.4712711670435965,9.933774834437086,51.8
cFlow,0,3.0,0.0,10,1000,0.0,0.3,1000,302,0,477,268,0,8.406878999900073,11.258278145695364,52.3
cFlow,0,4.0,0.0,10,1000,0.0,0.3,1000,302,0,477,268,0,9.384045457933098,11.258278145695364,52.3
cFlow,0,5.0,0.0,10,1000,0.0,0.3,1000,302,0,477,268,0,9.676752500003204,11.258278145695364,52.3
cFlow,0,0.0,1.0,10,1000,0.0,0.3,1000,302,0,457,260,0,10.105822500074282,13.90728476821192,54.3
cFlow,0,1.0,1.0,10,1000,0.0,0.3,1000,302,0,452,264,0,12.897606540936977,12.582781456953642,54.8
cFlow,0,2.0,1.0,10,1000,0.0,0.3,1000,302,0,463,264,0,15.87795591680333,12.582781456953642,53.7
cFlow,0,3.0,1.0,10,1000,0.0,0.3,1000,302,0,464,260,0,16.95521291694604,13.90728476821192,53.6
cFlow,0,4.0,1.0,10,1000,0.0,0.3,1000,302,0,464,260,0,17.77377475006506,13.90728476821192,53.6
cFlow,0,5.0,1.0,10,1000,0.0,0.3,1000,302,0,459,260,0,17.94325500004925,13.90728476821192,54.1
cFlow,0,0.0,2.0,10,1000,0.0,0.3,1000,302,0,452,250,0,31.25423462479376,17.218543046357617,54.8
cFlow,0,1.0,2.0,10,1000,0.0,0.3,1000,302,0,454,250,0,31.187057124916464,17.218543046357617,54.6
cFlow,0,2.0,2.0,10,1000,0.0,0.3,1000,302,0,451,250,0,35.662275625159964,17.218543046357617,54.9
cFlow,0,3.0,2.0,10,1000,0.0,0.3,1000,302,0,454,250,0,38.394247208954766,17.218543046357617,54.6
cFlow,0,4.0,2.0,10,1000,0.0,0.3,1000,302,0,454,250,0,38.81915508303791,17.218543046357617,54.6
cFlow,0,5.0,2.0,10,1000,0.0,0.3,1000,302,0,454,250,0,38.206402458949015,17.218543046357617,54.6
cFlow,0,0.0,3.0,10,1000,0.0,0.3,1000,302,0,449,253,0,44.34047750011087,16.225165562913908,55.1
cFlow,0,1.0,3.0,10,1000,0.0,0.3,1000,302,0,452,250,0,43.80267245788127,17.218543046357617,54.8
cFlow,0,2.0,3.0,10,1000,0.0,0.3,1000,302,0,452,250,0,49.04917954094708,17.218543046357617,54.8
cFlow,0,3.0,3.0,10,1000,0.0,0.3,1000,302,0,447,250,0,49.33780358312652,17.218543046357617,55.3
cFlow,0,4.0,3.0,10,1000,0.0,0.3,1000,302,0,447,250,0,49.74982412508689,17.218543046357617,55.3
cFlow,0,5.0,3.0,10,1000,0.0,0.3,1000,302,0,447,250,0,49.84241783292964,17.218543046357617,55.3
cFlow,0,0.0,4.0,10,1000,0.0,0.3,1000,302,0,445,250,0,57.21236687502824,17.218543046357617,55.5
cFlow,0,1.0,4.0,10,1000,0.0,0.3,1000,302,0,452,250,0,49.94001241703518,17.218543046357617,54.8
cFlow,0,2.0,4.0,10,1000,0.0,0.3,1000,302,0,452,250,0,55.44673495809548,17.218543046357617,54.8
cFlow,0,3.0,4.0,10,1000,0.0,0.3,1000,302,0,452,250,0,56.20502700004727,17.218543046357617,54.8
cFlow,0,4.0,4.0,10,1000,0.0,0.3,1000,302,0,452,250,0,56.72468541702256,17.218543046357617,54.8
cFlow,0,5.0,4.0,10,1000,0.0,0.3,1000,302,0,452,250,0,56.47432891698554,17.218543046357617,54.8
cFlow,0,0.0,5.0,10,1000,0.0,0.3,1000,302,0,445,250,0,59.242590207839385,17.218543046357617,55.5
cFlow,0,1.0,5.0,10,1000,0.0,0.3,1000,302,0,452,250,0,52.012386499904096,17.218543046357617,54.8
cFlow,0,2.0,5.0,10,1000,0.0,0.3,1000,302,0,452,250,0,56.53362104203552,17.218543046357617,54.8
cFlow,0,3.0,5.0,10,1000,0.0,0.3,1000,302,0,452,250,0,59.156169374939054,17.218543046357617,54.8
cFlow,0,4.0,5.0,10,1000,0.0,0.3,1000,302,0,452,250,0,59.498958125012,17.218543046357617,54.8
cFlow,0,5.0,5.0,10,1000,0.0,0.3,1000,302,0,452,250,0,57.00520912487991,17.218543046357617,54.8
full_reduce,0,,,10,1000,0.01,0.3,1000,300,12,173,117,10,0.0529610840603709,61.0,82.7
gFlow,0,,,10,1000,0.01,0.3,1000,300,12,516,273,10,0.2310071249958127,9.0,48.4
ZX-heur,0,,,10,1000,0.01,0.3,1000,300,12,485,275,10,6.076576791936532,8.333333333333334,51.5
cFlow,0,0.0,0.0,10,1000,0.01,0.3,1000,300,12,507,274,10,1.1636425419710577,8.666666666666666,49.3
cFlow,0,1.0,0.0,10,1000,0.01,0.3,1000,300,12,510,274,10,3.699921292020008,8.666666666666666,49.0
cFlow,0,2.0,0.0,10,1000,0.01,0.3,1000,300,12,508,268,10,6.806709541939199,10.666666666666666,49.2
cFlow,0,3.0,0.0,10,1000,0.01,0.3,1000,300,12,507,267,10,9.46899512503296,11.0,49.3
cFlow,0,4.0,0.0,10,1000,0.01,0.3,1000,300,12,507,267,10,11.091750707942992,11.0,49.3
cFlow,0,5.0,0.0,10,1000,0.01,0.3,1000,300,12,507,267,10,11.522404958028346,11.0,49.3
cFlow,0,0.0,1.0,10,1000,0.01,0.3,1000,300,12,484,260,10,10.456242374842986,13.333333333333334,51.6
cFlow,0,1.0,1.0,10,1000,0.01,0.3,1000,300,12,506,263,10,13.15478558302857,12.333333333333334,49.4
cFlow,0,2.0,1.0,10,1000,0.01,0.3,1000,300,12,504,265,10,16.331383666954935,11.666666666666666,49.6
cFlow,0,3.0,1.0,10,1000,0.01,0.3,1000,300,12,508,260,10,18.811795541085303,13.333333333333334,49.2
cFlow,0,4.0,1.0,10,1000,0.01,0.3,1000,300,12,509,260,10,22.691696707857773,13.333333333333334,49.1
cFlow,0,5.0,1.0,10,1000,0.01,0.3,1000,300,12,509,260,10,21.06300904089585,13.333333333333334,49.1
cFlow,0,0.0,2.0,10,1000,0.01,0.3,1000,300,12,476,250,10,27.83557299990207,16.666666666666668,52.4
cFlow,0,1.0,2.0,10,1000,0.01,0.3,1000,300,12,489,252,10,30.586216541938484,16.0,51.1
